"study_ID","measured_response_variable","measured_response_comments","reported_units"
"301_ef","cover of Rubus chamaemorus","percent cover of Rubus chamaemorus","%"
"301_eg","cover of Rubus chamaemorus","percent cover of Rubus chamaemorus","%"
"301_eh","cover of Rubus chamaemorus","percent cover of Rubus chamaemorus","%"
"301_ei","cover of Solidago virgaurea","percent cover of Solidago virgaurea","%"
"301_ej","cover of Solidago virgaurea","percent cover of Solidago virgaurea","%"
"301_ek","cover of Solidago virgaurea","percent cover of Solidago virgaurea","%"
"301_el","cover of Trientalis europaea","percent cover of Trientalis europaea","%"
"301_em","cover of Trientalis europaea","percent cover of Trientalis europaea","%"
"301_en","cover of Trientalis europaea","percent cover of Trientalis europaea","%"
"301_eo","cover of Viola epipsila","percent cover of Viola epipsila","%"
"301_ep","cover of Viola epipsila","percent cover of Viola epipsila","%"
"301_eq","cover of Viola epipsila","percent cover of Viola epipsila","%"
"301_er","cover of Calamagrostis lapponica","percent cover of Calamagrostis lapponica","%"
"301_es","cover of Calamagrostis lapponica","percent cover of Calamagrostis lapponica","%"
"301_et","cover of Calamagrostis lapponica","percent cover of Calamagrostis lapponica","%"
"301_eu","cover of Aulacomnium palustre","percent cover of Aulacomnium palustre","%"
"301_ev","cover of Aulacomnium palustre","percent cover of Aulacomnium palustre","%"
"301_ew","cover of Aulacomnium palustre","percent cover of Aulacomnium palustre","%"
"301_ex","cover of Barbilophozia kunzeana","percent cover of Barbilophozia kunzeana","%"
"301_ey","cover of Barbilophozia kunzeana","percent cover of Barbilophozia kunzeana","%"
"301_ez","cover of Barbilophozia kunzeana","percent cover of Barbilophozia kunzeana","%"
"301_fa","cover of Cladina rangiferina","percent cover of Cladina rangiferina","%"
"301_fb","cover of Cladina rangiferina","percent cover of Cladina rangiferina","%"
"301_fc","cover of Cladina rangiferina","percent cover of Cladina rangiferina","%"
"301_fd","cover of Cladonia crispata","percent cover of Cladonia crispata","%"
"301_fe","cover of Cladonia crispata","percent cover of Cladonia crispata","%"
"301_ff","cover of Cladonia crispata","percent cover of Cladonia crispata","%"
"301_fg","cover of Cladonia digitata","percent cover of Cladonia digitata","%"
"301_fh","cover of Cladonia digitata","percent cover of Cladonia digitata","%"
"301_fi","cover of Cladonia digitata","percent cover of Cladonia digitata","%"
"301_fj","cover of Nephroma arctica","percent cover of Nephroma arctica","%"
"301_fk","cover of Nephroma arctica","percent cover of Nephroma arctica","%"
"301_fl","cover of Nephroma arctica","percent cover of Nephroma arctica","%"
"301_fm","cover of Psoroma hypnorum","percent cover of Psoroma hypnorum","%"
"301_fn","cover of Psoroma hypnorum","percent cover of Psoroma hypnorum","%"
"301_fo","cover of Psoroma hypnorum","percent cover of Psoroma hypnorum","%"
"310_a","Coverage of Poa arctica","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_b","Coverage of Cardamine pratensis","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_c","Coverage of Ranunculus hyperboreus","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_d","Coverage of saxifraga cernua","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_e","Coverage of saxifraga cespitosa","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_f","Coverage of Sanonia type","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_g","Coverage of plagiomnium type","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_h","Coverage of Polytrichum type","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_i","Coverage of Phlia/Bryum type","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_j","Coverage of Mnium type","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_k","Coverage of aulacomnium palustre","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_l","Coverage of calliergon richardsonii","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_m","Coverage of paludella squarrosa","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_n","Coverage of cetraria islandica","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_o","Coverage of stereocaulon","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_p","Coverage of mushroom","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_q","Coverage of bare ground/dead mosses","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_r","Air saturation","Soil depth -2. Mean and SE has been calculated (results were presented separated by exclosure)","O2 [%]"
"310_s","Air saturation","Soil depth -5. Mean and SE has been calculated (results were presented separated by exclosure)","O2 [%]"
"310_t","Air saturation","Soil depth -10. Mean and SE has been calculated (results were presented separated by exclosure)","O2 [%]"
"310_u","Air saturation","Soil depth -15. Mean and SE has been calculated (results were presented separated by exclosure)","O2 [%]"
"310_v","Temperature","Soil depth 0. Mean and SE has been calculated (results were presented separated by exclosure)","ºC"
"310_w","Temperature","Soil depth -5. Mean and SE has been calculated (results were presented separated by exclosure)","ºC"
"310_x","Temperature","Soil depth -10. Mean and SE has been calculated (results were presented separated by exclosure)","ºC"
"310_y","Temperature","Soil depth -15. Mean and SE has been calculated (results were presented separated by exclosure)","ºC"
"310_z","Water content of the soil","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_aa","total organic matter (TOM) of the soil","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_ab","plant DNA","Mean and SE has been calculated (results were presented separated by exclosure)","%"
"310_ac","microbial DNA","Mean and SE has been calculated (results were presented separated by exclosure)","μg microbial DNA/g soil"
"310_ad","Plant RNA","Mean and SE has been calculated (results were presented separated by exclosure)","% plant mRNA"
"310_af","Microbial RNA","Mean and SE has been calculated (results were presented separated by exclosure)","μg microbial RNA/g soil"
"312_a","Leaf Area Index",NA,"m-2 m-2"
"312_b","Leaf Area Index",NA,"m-2 m-2"
"312_c","Leaf Area Index",NA,"m-2 m-2"
"312_d","Leaf Area Index",NA,"m-2 m-2"
"312_e","Leaf Area Index",NA,"m-2 m-2"
"312_f","Leaf Area Index",NA,"m-2 m-2"
"312_g","Leaf Area Index",NA,"m-2 m-2"
"312_h","Leaf Area Index",NA,"m-2 m-2"
"312_i","Leaf Area Index",NA,"m-2 m-2"
"312_j","Leaf Area Index",NA,"m-2 m-2"
"312_k","Leaf Area Index",NA,"m-2 m-2"
"312_l","Leaf Area Index",NA,"m-2 m-2"
"312_m","NDVI",NA,NA
"312_n","NDVI",NA,NA
"312_o","NDVI",NA,NA
"312_p","NDVI",NA,NA
"312_q","NDVI",NA,NA
"312_r","NDVI",NA,NA
"312_s","NDVI",NA,NA
"312_t","NDVI",NA,NA
"312_u","NDVI",NA,NA
"312_v","NDVI",NA,NA
"312_w","NDVI",NA,NA
"312_x","NDVI",NA,NA
"312_y","Vascular plant hits","proxy of plant density","nr of hits"
"312_z","Vascular plant hits","proxy of plant density","nr of hits"
"312_aa","Vascular plant hits","proxy of plant density","nr of hits"
"312_ab","Vascular plant hits","proxy of plant density","nr of hits"
"312_ac","Vascular plant hits","proxy of plant density","nr of hits"
"312_ad","Vascular plant hits","proxy of plant density","nr of hits"
"312_ae","Vascular plant hits","proxy of plant density","nr of hits"
"312_af","Vascular plant hits","proxy of plant density","nr of hits"
"312_ag","Vascular plant hits","proxy of plant density","nr of hits"
"312_ah","Vascular plant hits","proxy of plant density","nr of hits"
"312_ai","Vascular plant hits","proxy of plant density","nr of hits"
"312_aj","Vascular plant hits","proxy of plant density","nr of hits"
"312_ak","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_al","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_am","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_an","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_ao","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_ap","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_aq","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_ar","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_as","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_at","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_au","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_av","Abundance of deciduous shrubs",NA,"mean hits/100 pins"
"312_aw","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_ax","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_ay","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_az","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_ba","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_bb","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_bc","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_bd","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_be","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_bf","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_bg","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_bh","Abundance of evergreen shrubs",NA,"mean hits/100 pins"
"312_bi","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bj","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bk","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bl","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bm","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bn","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bo","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bp","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bq","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_br","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bs","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bt","Abundance of lichens","only one hit per pin --> cover","mean hits/100 pins"
"312_bu","Abundance of graminoids",NA,"mean hits/100 pins"
"312_bv","Abundance of graminoids",NA,"mean hits/100 pins"
"312_bw","Abundance of graminoids",NA,"mean hits/100 pins"
"312_bx","Abundance of graminoids",NA,"mean hits/100 pins"
"312_by","Abundance of graminoids",NA,"mean hits/100 pins"
"312_bz","Abundance of graminoids",NA,"mean hits/100 pins"
"312_ca","Abundance of graminoids",NA,"mean hits/100 pins"
"312_cb","Abundance of graminoids",NA,"mean hits/100 pins"
"312_cc","Abundance of graminoids",NA,"mean hits/100 pins"
"312_cd","Abundance of graminoids",NA,"mean hits/100 pins"
"312_ce","Abundance of graminoids",NA,"mean hits/100 pins"
"312_cf","Abundance of graminoids",NA,"mean hits/100 pins"
"312_cg","Abundance of forbs",NA,"mean hits/100 pins"
"312_ch","Abundance of forbs",NA,"mean hits/100 pins"
"312_ci","Abundance of forbs",NA,"mean hits/100 pins"
"312_cj","Abundance of forbs",NA,"mean hits/100 pins"
"312_ck","Abundance of forbs",NA,"mean hits/100 pins"
"312_cl","Abundance of forbs",NA,"mean hits/100 pins"
"312_cm","Abundance of forbs",NA,"mean hits/100 pins"
"312_cn","Abundance of forbs",NA,"mean hits/100 pins"
"312_co","Abundance of forbs",NA,"mean hits/100 pins"
"312_cp","Abundance of forbs",NA,"mean hits/100 pins"
"312_cq","Abundance of forbs",NA,"mean hits/100 pins"
"312_cr","Abundance of forbs",NA,"mean hits/100 pins"
"312_cs","Abundance of standing dead plants","50 pins per plot, but values are normalized to 100 pins per plot. Multiple hits per plot","mean hits/100 pins"
"312_ct","Abundance of standing dead plants",NA,"mean hits/100 pins"
"312_cu","Abundance of standing dead plants",NA,"mean hits/100 pins"
"312_cv","Abundance of standing dead plants",NA,"mean hits/100 pins"
"312_cw","Abundance of standing dead plants",NA,"mean hits/100 pins"
"312_cx","Abundance of standing dead plants",NA,"mean hits/100 pins"
"312_cy","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_cz","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_da","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_db","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_dc","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_dd","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_de","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_df","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_dg","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_dh","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_di","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_dj","Height of deciduous shrubs/dwarf shrubs",NA,"cm"
"312_dk","Height of evergreen shrubs",NA,"cm"
"312_dl","Height of evergreen shrubs",NA,"cm"
"312_dm","Height of evergreen shrubs",NA,"cm"
"312_dn","Height of evergreen shrubs",NA,"cm"
"312_do","Height of evergreen shrubs",NA,"cm"
"312_dp","Height of evergreen shrubs",NA,"cm"
